,term,pBS,meanStat,meanVar,N,adjPbs,sig
0,REACTOME_INTERLEUKIN_6_SIGNALING,0.9130434782608695,-0.12312705316447621,-0.9155361585397859,58,1.0,False
1,REACTOME_APOPTOSIS,1.0,-0.065966801484864,-0.918898888168079,463,1.0,False
2,REACTOME_HEMOSTASIS,0.0,0.09616366881673097,-1.2352494717213862,2001,0.0,True
3,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,1.0,-0.08234992036573163,-0.8464604312573644,215,1.0,False
4,REACTOME_MAPK3_ERK1_ACTIVATION,0.9545454545454546,-0.10376318594429518,-0.9300831145141294,55,1.0,False
5,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,1.0,-0.0055348019589731845,-0.8682029008381372,198,1.0,False
6,REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,1.0,-0.038302933283497514,-0.7851645770707785,159,1.0,False
7,REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,1.0,-0.053266125993362834,-0.721778444673613,106,1.0,False
8,REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE,0.4883720930232558,-0.24088287452047571,-1.035059140502725,18,1.0,False
9,REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,0.6363636363636364,-0.019417971951230406,-1.0186424940300625,28,1.0,False
10,REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.5833333333333334,0.07156887615349025,-0.9773165103783555,37,1.0,False
11,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,1.0,0.06970630968282346,-0.9459456734016742,116,1.0,False
12,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,1.0,-0.061456639271784685,-0.7972457440447157,76,1.0,False
13,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.9130434782608695,-0.08768773583369205,-0.9753624406563555,41,1.0,False
14,REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,0.7241379310344828,0.09352179862398177,-0.9556608329525299,41,1.0,False
15,REACTOME_FORMATION_OF_APOPTOSOME,1.0,-0.030402040864388857,-0.7803678405061273,56,1.0,False
16,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,1.0,-0.0951661983106045,-0.9141385518731905,41,1.0,False
17,REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,1.0,-0.0867663242738336,-0.8223140989477532,67,1.0,False
18,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.8076923076923077,-0.1111473853504018,-1.0076526955134952,152,1.0,False
19,REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,0.9545454545454546,-0.20480688319366014,-0.8241402017722361,23,1.0,False
20,REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,1.0,-0.06920238030443299,-0.832145936974266,90,1.0,False
21,REACTOME_OPIOID_SIGNALLING,0.6,-0.009138337916264588,-1.0471649502709897,284,1.0,False
22,REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,0.1044776119402985,-0.058237246932784564,-1.2177218145119681,58,1.0,False
23,REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,1.0,-0.1451261497818963,-0.6557863362183824,27,1.0,False
24,REACTOME_CAM_PDE_1_ACTIVATION,1.0,-0.15778267148487618,-0.7833864372330592,34,1.0,False
25,REACTOME_CA_DEPENDENT_EVENTS,0.4375,-0.04748033483622233,-1.0598241685220606,102,1.0,False
26,REACTOME_G_PROTEIN_MEDIATED_EVENTS,0.1721311475409836,0.06123384157779979,-1.150130364645235,155,1.0,False
27,REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,0.328125,-0.04957148400972061,-1.114556417240186,7,1.0,False
28,REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING,0.0,0.08231805225263547,-2.7789527765276283,25,0.0,True
29,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0.38181818181818183,-0.1746284501968136,-1.1053467314948935,98,1.0,False
30,REACTOME_NEUROTRANSMITTER_CLEARANCE,0.0963302752293578,0.1117337083832958,-1.314530889036233,18,1.0,False
31,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.002,-0.02394142592814219,-1.2345955605136996,285,0.8937800135075677,False
32,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.0,-0.0434156895954354,-1.2851254426350887,434,0.0,True
33,REACTOME_NEURONAL_SYSTEM,0.0,-0.0761945349135437,-1.2748534198180483,574,0.0,True
34,REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,1.0,-0.04166786223428537,-0.727841232052894,272,1.0,False
35,REACTOME_IRS_MEDIATED_SIGNALLING,0.6,0.05720639530914165,-1.0831594267739304,97,1.0,False
36,REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,0.84,-0.08087247514605067,-0.9838306282711051,128,1.0,False
37,REACTOME_MAPK1_ERK2_ACTIVATION,0.9130434782608695,-0.1503699999698333,-0.8882336645935822,49,1.0,False
38,REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,1.0,-0.012849624997831766,-0.7719382321408458,162,1.0,False
39,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,1.0,-0.04264577570100889,-0.7045150819396089,44,1.0,False
