,term,pBS,meanStat,meanVar,N,adjPbs,sig
0,REACTOME_INTERLEUKIN_6_SIGNALING,0.9130434782608695,0.1513199289482164,-0.23437361141949045,7,1.0,False
1,REACTOME_APOPTOSIS,1.0,-0.12048002364714105,-0.34944120888557484,66,1.0,False
2,REACTOME_HEMOSTASIS,0.0,0.00014729393099141563,-0.5978223712270169,261,0.0,True
3,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,0.875,-0.24346304127873578,-0.32200238341615334,28,1.0,False
4,REACTOME_MAPK3_ERK1_ACTIVATION,1.0,0.019835652387678794,-0.1772869814460079,6,1.0,False
5,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,0.875,-0.031272314833815006,-0.29896977978735023,30,1.0,False
6,REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,0.9545454545454546,-0.09539322210830031,-0.2773098479211716,25,1.0,False
7,REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,0.9545454545454546,-0.11042418040320617,-0.2894182503976538,16,1.0,False
8,REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE,0.39622641509433965,-0.18868468049305495,-0.4583165648017529,4,1.0,False
9,REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,0.5675675675675675,-0.19597131152832561,-0.4116768189752839,5,1.0,False
10,REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.9545454545454546,-0.10156508646222462,-0.2010438254354502,5,1.0,False
11,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,1.0,-0.1477397715053307,-0.20906002829106954,17,1.0,False
12,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.4666666666666667,-0.34982518196916645,-0.452888648813491,11,1.0,False
13,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.6363636363636364,-0.057932935021672814,-0.42444986499628806,6,1.0,False
