,term,pBS,meanStat,meanVar,N,adjPbs,sig
0,REACTOME_INTERLEUKIN_6_SIGNALING,1.0,-0.3213176780496518,-0.3213176780496518,4,1.0,False
1,REACTOME_APOPTOSIS,1.0,-0.1760938974400696,-0.565841596331361,60,1.0,False
2,REACTOME_HEMOSTASIS,0.01373283395755306,0.21175383660924035,-0.8151106682935529,246,0.9999999324659499,False
3,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,1.0,-0.2198511464673782,-0.4938118475288349,28,1.0,False
4,REACTOME_MAPK3_ERK1_ACTIVATION,1.0,-0.2609204868030901,-0.2609204868030901,4,1.0,False
5,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,0.9166666666666666,-0.2562662845623965,-0.5509508902172073,23,1.0,False
6,REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,1.0,-0.07226271831712751,-0.4304257596023296,21,1.0,False
7,REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,1.0,-0.1602932875935379,-0.3881652961382251,12,1.0,False
8,REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE,0.4782608695652174,-0.04601118412313922,-0.7361634279032192,3,1.0,False
9,REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,0.5,-0.010083414733134205,-0.7002356585132142,3,1.0,False
10,REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.7333333333333333,-0.1211705122315045,-0.582212536005799,4,1.0,False
11,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,0.7333333333333333,-0.019862488850194746,-0.533812423136707,16,1.0,False
12,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.9166666666666666,0.10068963408072172,-0.5107022101215839,11,1.0,False
13,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.7333333333333333,-0.1525804853365435,-0.4984628405567995,4,1.0,False
14,REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,0.3793103448275862,-0.6352728658990232,-0.6352728658990232,6,1.0,False
15,REACTOME_FORMATION_OF_APOPTOSOME,0.9166666666666666,-0.41165772632291275,-0.41165772632291275,8,1.0,False
16,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.6111111111111112,-0.5680820666478653,-0.5680820666478653,7,1.0,False
17,REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,0.7857142857142857,-0.4554318443413427,-0.4554318443413427,10,1.0,False
18,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.5789473684210527,0.08999813127324295,-0.670172420937099,19,1.0,False
19,REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,1.0,-0.4311980235152413,-0.4311980235152413,4,1.0,False
20,REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.9166666666666666,-0.49985084985266737,-0.49985084985266737,13,1.0,False
21,REACTOME_OPIOID_SIGNALLING,0.9166666666666666,0.09209642457958477,-0.5700910169069205,36,1.0,False
22,REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,0.6875,0.15881051472872515,-0.5570568920357606,7,1.0,False
23,REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,0.8461538461538461,-0.3431754115010983,-0.3431754115010983,3,1.0,False
24,REACTOME_CAM_PDE_1_ACTIVATION,0.39285714285714285,0.25144153019738613,-0.73611924121297,5,1.0,False
25,REACTOME_CA_DEPENDENT_EVENTS,0.24444444444444444,0.37028953484668475,-0.7788350003133403,12,1.0,False
26,REACTOME_G_PROTEIN_MEDIATED_EVENTS,0.39285714285714285,0.29364488068336436,-0.7145318742712451,18,1.0,False
27,REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,1.0,1.0,1.0,1.0,1.0,False
28,REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING,0.004378980891719745,1.6749310816004317,-2.070583317754224,5,0.9954343608348172,False
29,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0.5,0.21395200965957134,-0.6745936395198652,14,1.0,False
30,REACTOME_NEUROTRANSMITTER_CLEARANCE,1.0,1.0,1.0,1.0,1.0,False
31,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.5238095238095238,0.2849640912114023,-0.6825329324238513,33,1.0,False
32,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.16666666666666666,0.40540882931169653,-0.8094129302410887,55,1.0,False
33,REACTOME_NEURONAL_SYSTEM,0.05789473684210526,0.39949304597062707,-0.8546094905724242,73,1.0,False
34,REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,1.0,-0.28106805193927215,-0.40202997467037166,34,1.0,False
35,REACTOME_IRS_MEDIATED_SIGNALLING,0.04365079365079365,0.5479077236795992,-1.2537221588812546,10,1.0,False
36,REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,0.4782608695652174,0.2454313769890189,-0.6573447256823503,14,1.0,False
37,REACTOME_MAPK1_ERK2_ACTIVATION,1.0,-0.3389240525908773,-0.3389240525908773,3,1.0,False
38,REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,1.0,-0.3168062383118775,-0.40361953588891386,20,1.0,False
39,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,0.9166666666666666,-0.13850492569693892,-0.2998438806948609,5,1.0,False
40,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.9166666666666666,0.05465856483219335,-0.4932628372907199,14,1.0,False
41,REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,0.3793103448275862,0.11352001895479512,-0.6779925704964589,8,1.0,False
42,REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,0.5,0.2040983620409173,-0.6649954529839049,22,1.0,False
43,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,1.0,-0.18010831450722647,-0.5538457735341683,66,1.0,False
44,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,1.0,-0.3288863611615851,-0.4481875127882612,57,1.0,False
45,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.36666666666666664,-0.32590140962355874,-0.7096220025792789,25,1.0,False
46,REACTOME_PROLACTIN_RECEPTOR_SIGNALING,1.0,1.0,1.0,1.0,1.0,False
47,REACTOME_SIGNALING_BY_NODAL,0.9166666666666666,-0.19177174319664564,-0.19177174319664564,4,1.0,False
