,term,pBS,meanStat,meanVar,N,adjPbs,sig
0,REACTOME_INTERLEUKIN_6_SIGNALING,0.84,-0.05726675779782279,-1.2316073192326276,9,1.0,False
1,REACTOME_APOPTOSIS,0.9130434782608695,-0.17770375656201484,-1.521060205270814,44,1.0,False
2,REACTOME_HEMOSTASIS,0.23333333333333334,0.6774376356313173,-1.8683564541988076,193,1.0,False
3,REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,1.0,-0.2990191519114036,-1.158271952060424,21,1.0,False
4,REACTOME_MAPK3_ERK1_ACTIVATION,0.7241379310344828,-0.35829950640816377,-1.3029866504394523,6,1.0,False
5,REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE,1.0,-0.0147314301275848,-1.026859377531348,12,1.0,False
6,REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,1.0,-0.13556714249282634,-0.8635724538093101,9,1.0,False
7,REACTOME_TRANSLESION_SYNTHESIS_BY_POLH,1.0,0.09930618189391309,-0.4846205131233705,5,1.0,False
8,REACTOME_CLEAVAGE_OF_THE_DAMAGED_PYRIMIDINE,1.0,1.0,1.0,1.0,1.0,False
9,REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1,1.0,1.0,1.0,1.0,1.0,False
10,REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR,0.44680851063829785,0.11029559228015667,-1.65657735321615,3,1.0,False
11,REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,0.45652173913043476,0.06294103639618334,-1.57537672387461,6,1.0,False
12,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,0.9545454545454546,0.48762785420188937,-0.9161029242037521,7,1.0,False
13,REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,0.6363636363636364,0.17300116565136978,-1.4263713455114095,6,1.0,False
14,REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA,1.0,1.0,1.0,1.0,1.0,False
15,REACTOME_FORMATION_OF_APOPTOSOME,0.9545454545454546,-0.14108686007142557,-1.196689775429621,4,1.0,False
16,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,0.6774193548387096,-0.613607232582809,-1.4580895648693655,5,1.0,False
17,REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE,0.6363636363636364,-0.7471110332555447,-1.4508463101610085,6,1.0,False
18,REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.28,-0.5392980589178217,-1.9096626265872445,15,1.0,False
19,REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE,0.5526315789473685,-0.9591578592090895,-1.6252639206665302,3,1.0,False
20,REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE,0.9130434782608695,-0.7014000924242558,-1.3046017583432248,7,1.0,False
21,REACTOME_OPIOID_SIGNALLING,0.6363636363636364,0.2772240718061714,-1.7269628947052265,28,1.0,False
22,REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB,0.07,-0.32006682259613295,-2.58834697671396,7,1.0,False
23,REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,0.9545454545454546,-0.009080234573736114,-1.0106937513844174,4,1.0,False
24,REACTOME_CAM_PDE_1_ACTIVATION,0.84,-0.10608936389078008,-0.9136846220673736,4,1.0,False
25,REACTOME_CA_DEPENDENT_EVENTS,0.27631578947368424,0.16284457513078052,-1.983336200557831,11,1.0,False
26,REACTOME_G_PROTEIN_MEDIATED_EVENTS,0.27631578947368424,0.6366524798053589,-1.8849664597133873,17,1.0,False
27,REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS,1.0,1.0,1.0,1.0,1.0,False
28,REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING,0.01,-4.109969760520183,-4.109969760520183,4,0.9999957215214896,False
29,REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE,0.13,-0.9640050318026849,-2.4830812865701755,9,1.0,False
30,REACTOME_NEUROTRANSMITTER_CLEARANCE,1.0,1.0,1.0,1.0,1.0,False
31,REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,0.3442622950819672,0.12475426109135795,-2.056903609169639,30,1.0,False
32,REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES,0.02,-0.31592005922650745,-2.2699209338882276,47,0.9999999999817729,False
33,REACTOME_NEURONAL_SYSTEM,0.01,-0.4328357661472337,-2.2874641479536884,61,0.9999957215214896,False
34,REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,1.0,0.4822671089685003,-0.9432073378502247,18,1.0,False
35,REACTOME_IRS_MEDIATED_SIGNALLING,0.6,0.37526622809830346,-1.6385887516335726,7,1.0,False
36,REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION,0.75,-0.041427150097605774,-1.5727563562333133,12,1.0,False
37,REACTOME_MAPK1_ERK2_ACTIVATION,0.9545454545454546,-0.35829950640816377,-1.3029866504394523,6,1.0,False
38,REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX,0.9545454545454546,0.4642470402867361,-0.9310207422818377,12,1.0,False
39,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,1.0,1.0,1.0,1.0,1.0,False
40,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,1.0,-0.13409911275036973,-1.1361890752439412,12,1.0,False
41,REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS,0.3888888888888889,1.498100268268831,-1.7750639173362779,9,1.0,False
42,REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,0.42857142857142855,0.5763233487105413,-1.6975643862364758,17,1.0,False
43,REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,1.0,-0.24056146873087078,-0.7700864761567453,36,1.0,False
44,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,1.0,-0.42023044701928647,-0.6620916882505488,26,1.0,False
45,REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES,0.9130434782608695,0.2901309533806528,-1.3749204831887798,20,1.0,False
46,REACTOME_PROLACTIN_RECEPTOR_SIGNALING,1.0,1.0,1.0,1.0,1.0,False
47,REACTOME_SIGNALING_BY_NODAL,1.0,1.0,1.0,1.0,1.0,False
48,REACTOME_FERTILIZATION,0.14,-1.4714613710977507,-2.5013099100028606,4,1.0,False
49,REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES,0.9545454545454546,1.083300701475742,-1.3669317227338766,17,1.0,False
50,REACTOME_SIGNALING_BY_ERBB2,0.84,0.3325021020656908,-1.5820732051897914,20,1.0,False
51,REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR,1.0,1.0,1.0,1.0,1.0,False
52,REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,1.0,-0.33657157811975263,-0.6261576990174534,19,1.0,False
53,REACTOME_SIGNALING_BY_ERBB4,0.5675675675675675,-0.4105753190375224,-1.6250706381718703,10,1.0,False
54,REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,0.3333333333333333,1.9111018066051915,-2.093841705607262,6,1.0,False
55,REACTOME_ER_PHAGOSOME_PATHWAY,0.6363636363636364,-1.3364154694125612,-1.665419298729434,14,1.0,False
56,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.9545454545454546,-0.18039299175369147,-1.4625246619070313,36,1.0,False
57,REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY,0.16,-2.27105931937697,-2.27105931937697,8,1.0,False
58,REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,1.0,0.0468161268132384,-1.0482479632998425,16,1.0,False
59,REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,0.0,0.8783886285327902,-5.02098923327465,3,0.0,True
60,REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,1.0,1.0,1.0,1.0,1.0,False
61,REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,0.08,2.7165850102130373,-2.6332128313447636,3,1.0,False
62,REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING,1.0,1.0,1.0,1.0,1.0,False
63,REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING,1.0,1.0,1.0,1.0,1.0,False
64,REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,1.0,1.0,1.0,1.0,1.0,False
65,REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING,0.7777777777777778,-0.425383761183086,-1.3441827816205825,6,1.0,False
66,REACTOME_INTERLEUKIN_7_SIGNALING,0.5675675675675675,-1.1510237294610974,-1.6506429534818348,8,1.0,False
67,REACTOME_DEVELOPMENTAL_BIOLOGY,0.3387096774193548,-0.41500845353173904,-1.872655187157175,118,1.0,False
68,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,1.0,1.0,1.0,1.0,1.0,False
69,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.9545454545454546,-0.1502234056733782,-1.6440054313504182,163,1.0,False
70,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,1.0,0.0009299551607303697,-1.5852533628312044,265,1.0,False
71,REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING,1.0,0.08688230690956367,-0.5805802353049039,9,1.0,False
72,REACTOME_ACTIVATION_OF_G_PROTEIN_GATED_POTASSIUM_CHANNELS,0.3888888888888889,0.13306460484516175,-1.9375590256994184,6,1.0,False
73,REACTOME_CA2_ACTIVATED_K_CHANNELS,1.0,1.0,1.0,1.0,1.0,False
74,REACTOME_INWARDLY_RECTIFYING_K_CHANNELS,0.3684210526315789,0.13306460484516175,-1.9375590256994184,6,1.0,False
75,REACTOME_POTASSIUM_CHANNELS,0.17,0.3196164991559825,-2.2557202975443387,12,1.0,False
76,REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS,0.2,0.21451598676667677,-2.332301615537743,3,1.0,False
77,REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS,1.0,1.0,1.0,1.0,1.0,False
78,REACTOME_SPERM_MOTILITY_AND_TAXES,1.0,1.0,1.0,1.0,1.0,False
79,REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,1.0,1.0,1.0,1.0,1.0,False
80,REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING,1.0,0.4316725596409896,-1.0278564603556148,6,1.0,False
81,REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS,0.65625,-0.34436657384789415,-1.3969585606328472,4,1.0,False
82,REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.25609756097560976,0.5973862281965843,-2.032899663206851,4,1.0,False
83,REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS,0.25609756097560976,1.2096861155482668,-1.9370695495353634,4,1.0,False
84,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,0.7777777777777778,-0.9983896794783835,-1.255866600150229,4,1.0,False
85,REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,0.22105263157894736,1.312093544142564,-1.9838541595540906,7,1.0,False
86,REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,1.0,1.0,1.0,1.0,1.0,False
87,REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.1,2.8285856258687456,-3.090925074874828,3,1.0,False
88,REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.0,3.2455865464623472,-4.265545861630748,7,0.0,True
89,REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,0.0,2.7802780591073786,-3.7919627979740786,8,0.0,True
90,REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,1.0,1.0,1.0,1.0,1.0,False
91,REACTOME_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES,1.0,-0.3465320807158518,-0.898954325713325,14,1.0,False
92,REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.0,0.6018722512380015,-0.6850319133293846,78,1.0,False
93,REACTOME_METABOLISM,1.0,0.390329421901685,-1.5866116209118089,514,1.0,False
94,REACTOME_SIGNALING_BY_SCF_KIT,0.6,-0.7340185310895657,-1.770032819634236,18,1.0,False
95,REACTOME_REGULATION_OF_KIT_SIGNALING,0.375,-0.513313756899289,-1.9625598289416877,9,1.0,False
96,REACTOME_COLLAGEN_DEGRADATION,0.18,2.418064601723737,-2.334692422855463,4,1.0,False
97,REACTOME_BETA_DEFENSINS,1.0,1.0,1.0,1.0,1.0,False
98,REACTOME_DEFENSINS,1.0,1.0,1.0,1.0,1.0,False
99,REACTOME_ALPHA_DEFENSINS,1.0,1.0,1.0,1.0,1.0,False
100,REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION,1.0,-0.020934912769159757,-1.005767417405991,7,1.0,False
101,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.01,1.993042980114208,-2.630558807407121,15,0.9999957215214896,False
102,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.03,1.13536705998037,-2.1886801208716573,48,0.9999999999999999,False
103,REACTOME_COLLAGEN_FORMATION,0.09,0.2627555894201916,-2.3148438981343697,11,1.0,False
104,REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE,1.0,1.0,1.0,1.0,1.0,False
105,REACTOME_ACYL_CHAIN_REMODELLING_OF_PC,0.1,-0.9356635176148888,-2.533452657473826,7,1.0,False
106,REACTOME_ACYL_CHAIN_REMODELING_OF_CL,1.0,1.0,1.0,1.0,1.0,False
107,REACTOME_ACYL_CHAIN_REMODELLING_OF_PS,0.04,-2.5908649202322507,-3.3255134949242158,4,1.0,False
108,REACTOME_ACYL_CHAIN_REMODELLING_OF_PE,0.15,-1.3084384200946628,-2.3256330409460992,6,1.0,False
109,REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG,0.8076923076923077,-0.04337231607867236,-1.2634037503013391,3,1.0,False
110,REACTOME_ACYL_CHAIN_REMODELLING_OF_PI,0.11,-1.3995447129852232,-2.9253366442623783,4,1.0,False
111,REACTOME_ACYL_CHAIN_REMODELLING_OF_PG,0.12,-1.8095628647983157,-2.901666385645801,4,1.0,False
112,REACTOME_HYDROLYSIS_OF_LPC,0.03,-0.4730923030514158,-3.162782942563371,4,0.9999999999999999,False
113,REACTOME_SYNTHESIS_OF_PA,0.28,1.0304313789236734,-1.8612299438944606,10,1.0,False
114,REACTOME_SYNTHESIS_OF_PC,0.17,-1.4422533683339152,-2.1611177976955207,10,1.0,False
