target,Param,mean_PV,sd_PV,hpd_3%_PV,hpd_97%_PV,mcse_mean_PV,mcse_sd_PV,ess_mean_PV,ess_sd_PV,ess_bulk_PV,ess_tail_PV,r_hat_PV,class_PV,FC_PV,SigFactor_PV,Status_PV,mean_CVB,sd_CVB,hpd_3%_CVB,hpd_97%_CVB,mcse_mean_CVB,mcse_sd_CVB,ess_mean_CVB,ess_sd_CVB,ess_bulk_CVB,ess_tail_CVB,r_hat_CVB,class_CVB,FC_CVB,SigFactor_CVB,Status_CVB,CVB_PV
AAK1,MP,5.79,0.359,5.013,6.271,0.008,0.006,2052,2052,2160,3613,1,NA,-0.0405381598748773,-0.0927047349581224,Unchanged,8.298,0.196,7.934,8.666,0.002,0.001,9823,9785,9912,11478,1,NA,0.0371590457544444,0.103526773325164,Unchanged,Unchanged Unchanged
AAK1,Max,18.029,1.646,14.894,21.066,0.023,0.016,5009,5002,5000,6747,1,NA,0.303659471746472,0.129344552927642,Unchanged,15.388,0.795,13.804,16.784,0.011,0.008,5223,5223,4926,4234,1,NA,-0.0240803409405601,-0.0180840632222946,Unchanged,Unchanged Unchanged
AAK1,Slope,27.329,27.76,0.529,79.877,0.452,0.32,3764,3764,3197,8856,1,NA,3.40331312236335,0.403626722224891,Unchanged,1.012,0.172,0.712,1.328,0.002,0.001,8372,8343,8507,11090,1,NA,0.0128876840821295,0.0450255166674028,Unchanged,NA
AAK1,dof,8.252,5.569,0.814,18.541,0.075,0.053,5443,5443,3956,3116,1,NA,2.2868671614765,0.617779608211118,Unchanged,8.058,5.573,0.624,18.329,0.061,0.043,8267,8267,3121,1219,1,NA,2.19157124459108,0.56427112954782,Unchanged,NA
AAK1,k,0.415,1.31,-2.123,2.877,0.019,0.014,4805,4404,4813,5863,1,NA,4.69696752623429,2.87719270767714,Unchanged,-0.225,0.41,-1.008,0.559,0.004,0.004,8372,6729,8575,8693,1,NA,0.00642626915943309,0.0103927265467985,Unchanged,NA
AAK1,sigma,4.168,0.879,2.475,5.887,0.015,0.01,3506,3506,3976,2631,1,NA,0.959723427601961,0.645437333331807,Unchanged,1.257,0.291,0.66,1.811,0.006,0.004,2264,2264,2952,1014,1,NA,0.534217701976028,0.965472247917645,Unchanged,NA
ABCC4,MP,5.566,0.344,5.323,5.976,0.009,0.006,1579,1579,2007,679,1,NA,-0.097460599419869,-0.309350408267893,Unchanged,8.326,0.306,7.774,8.916,0.005,0.003,4198,4106,4237,4573,1,NA,0.0420189470230125,0.0937250712205446,Unchanged,Unchanged Unchanged
ABCC4,Max,17.016,1.847,15.14,18.632,0.049,0.035,1433,1433,3154,2699,1,NA,0.220232031970389,0.124714697847186,Unchanged,22.552,1.362,19.9,24.993,0.018,0.013,5863,5863,5856,8234,1,NA,0.527369307333247,0.302949004331937,Unchanged,Unchanged Unchanged
ABCC4,Slope,3.869,7.267,0.927,7.552,0.38,0.269,367,367,1200,380,1,NA,0.582913085325216,0.239252705979736,Unchanged,0.812,0.152,0.543,1.094,0.002,0.001,7468,7292,7836,9614,1,NA,-0.304769973427004,-1.1258241417408,Unchanged,NA
ABCC4,dof,1.817,1.606,0.565,3.441,0.041,0.029,1561,1561,3016,1803,1,NA,0.103681759824132,0.0695373557751222,Unchanged,9.271,5.957,0.941,19.999,0.075,0.053,6347,6347,3447,1659,1,NA,2.39387440009466,0.594077222962436,Unchanged,NA
